1,1,0,0,0,0,0,0,0,0,0,0,0,0,778377600,1037836800
2,1,0,0,0,0,0,0,0,0,0,39916800,199584000,0,658627200,918086400
2,2,39916800,39916800,39916800,39916800,39916800,19958400,0,0,0,0,0,0,558835200,1037836800
3,1,3628800,18144000,34110720,51851520,71809920,94619520,117601920,141914880,171852480,191017440,250892640,0,287180640,381589920
3,2,3628800,3628800,3628800,3628800,3628800,3628800,3628800,3628800,3628800,3628800,136684800,0,711849600,931392000
3,3,32659200,32659200,32659200,32659200,32659200,32659200,34473600,32659200,29030400,29030400,29030400,0,468115200,997920000
4,1,1451520,29756160,57980160,86103360,114096960,141917760,168936480,194700960,200570400,183467520,196531200,0,196531200,244170720
4,2,10886400,10886400,13789440,20240640,31127040,48078720,72270720,102389760,144302400,181422720,295729920,0,390441600,494648640
4,3,10886400,10886400,10886400,10886400,10886400,11249280,11249280,11249280,10523520,10523520,107291520,0,700963200,898732800
4,4,42819840,42819840,42819840,42819840,42819840,44634240,46448640,46448640,41731200,38828160,38828160,0,398079360,947116800
5,1,725760,42618240,80130960,113256720,141984720,167650560,189159120,205396416,194872896,161487936,161487936,0,161487936,195955200
5,2,5160960,5160960,13708800,30764160,56269440,90218880,132281280,179818560,217442880,226056960,266054400,0,266054400,327222720
5,3,19918080,19918080,19918080,20885760,24151680,32181120,46897920,70848000,109424160,154298880,298906560,0,446316480,552549600
5,4,19918080,19918080,19918080,19918080,19918080,20482560,20684160,20684160,19071360,18426240,86163840,0,676650240,854461440
5,5,54593280,54593280,54593280,54593280,54593280,56609280,58423680,58625280,52819200,47013120,47013120,0,334414080,888330240
6,1,483840,55938960,100020240,134016720,159216720,179101440,192931200,200449344,182547264,145614144,145614144,0,145614144,174666240
6,2,3144960,3144960,20028960,49911840,88901280,133812000,180699840,224101152,235955232,207983232,207983232,0,207983232,252564480
6,3,11440800,11440800,11440800,15251040,26655840,49597920,87441120,141429600,202230720,241561440,316425600,0,316425600,384873120
6,4,30582720,30582720,30582720,30582720,31066560,34024320,40878720,55419120,83250000,125705040,279626640,0,469750560,574162560
6,5,30582720,30582720,30582720,30582720,30582720,31328640,31731840,31757040,29095920,27160560,72318960,0,640926720,798981120
6,6,66568320,66568320,66568320,66568320,66568320,68584320,70398720,70600320,63705600,54996480,54996480,0,278530560,821560320
7,1,328320,69346080,117311760,148983120,168513120,181969920,189640800,191862720,172670400,137319840,137319840,0,137319840,163628640
7,2,2367360,2367360,30271680,73417440,121559520,168503040,208218240,235874688,223087488,178493568,178493568,0,178493568,215066880
7,3,8242560,8242560,8242560,17655840,42256080,84551040,143262000,211660128,257065488,245945808,245945808,0,245945808,297198720
7,4,20568960,20568960,20568960,20568960,22953600,32826240,56723040,102352320,170383680,235864800,347130720,0,347130720,418573440
7,5,42860160,42860160,42860160,42860160,42860160,44133120,46753920,53699040,69156720,102176400,248704320,0,468912000,568378080
7,6,42860160,42860160,42860160,42860160,42860160,43787520,44392320,44442720,40572000,36701280,64925280,0,594397440,732695040
7,7,78543360,78543360,78543360,78543360,78543360,80559360,82373760,82575360,74592000,62979840,62979840,0,230630400,746807040
